Station	Lat	Long	Temp	Cond	Ox	Fluo	PAR	SPAR	Turb	Batt	Sal	Ox.1	MaxZ
49	62	-29.62683333	92.98416667	23.079	5.1653	2.6854	0.028512	125.75	569.81	-9.99e-29	18.114	35.444	4.5097	2551
50	63	-29.574	96.40733333	21.738	5.0686	2.7043	0.031687	131.8	406.41	0.03	19.992	35.785	4.6425	2765
51	64	-30.33266667	103.3075	21.737	5.0413	2.7009	0.029677	67.056	1760.6	0.031	19.992	35.569	4.6417	4881
52	65	-30.3275	103.3173333	21.78	5.0694	2.7005	0.026297	1152.8	2071.1	0.922	19.992	35.757	4.6307	4874
53	66	-30.8105	107.2371667	23.049	5.1738	2.692	0.039093	217.25	669.06	0.035	-9.99e-29	35.534	4.5269	5110
54	67	-31.134	110.207	22.994	5.1627	2.7019	0.039825	124.79	556.15	0.059	23.267	35.493	4.551	5232
55	68	-31.55366667	113.4668333	24.799	5.3314	2.6698	0.032004	64.154	1332.7	0.034	23.253	35.336	4.3597	4538
56	69	-35.98333333	117.407	21.355	4.9977	2.6872	0.039724	0.81981	4.1281	0.048	22.306	35.539	4.6385	4408
57	70	-36.63933333	120.8561667	19.545	4.8194	2.6909	0.053444	32.169	161	0.035	23.647	35.61	4.7956	5352
58	71	-37.23933333	124.8978333	18.181	4.6591	2.7095	0.058609	112.22	613.11	0.032	23.267	35.435	4.9599	5639
59	72	-37.88933333	127.7503333	17.498	4.5638	2.7165	0.05484	175.6	1427.3	-9.99e-29	24.067	35.208	5.0406	5599
60	73	-38.5775	131.5065	17.627	4.6	2.7067	0.032451	342.54	2317.6	0.048	-9.99e-29	35.408	4.9977	5532
61	74	-39.2425	135.1388333	16.492	4.4701	2.7038	0.061974	272.77	1574.5	0.049	23.267	35.271	5.092	5526
62	75	-39.86683333	138.7353333	15.941	4.4036	2.7084	0.21146	1.5638	10.32	0.117	-9.99e-29	35.168	5.1627	5320
63	76	-40.55033333	142.497	15.749	4.3647	2.7236	0.19654	0.94191	4.1281	0.066	-9.99e-29	34.99	5.2255	3563
64	77	-38.62133333	150.4173333	21.142	4.9665	2.6492	0.067628	93.479	324.05	-9.99e-29	23.073	35.466	4.572	4550
65	78	-36.64166667	151.0061667	21.641	5.0321	2.6626	0.082868	9.8126	64.566	0.055	22.306	35.576	4.5678	4700
66	79	-34.05616667	176.0158333	21.036	4.9611	2.6723	0.036785	151	979.7	0.039	21.773	35.51	4.6419	800
67	81	-28.40616667	179.1413333	24.23	5.3098	2.6799	0.04879	0.27363	4.1281	0.1	-0.0133	35.624	4.4135	3592
68	82	-25.48983333	-179.5236667	23.994	5.2808	2.6808	0.038691	0.71864	4.1281	0.032	-0.0215	35.594	4.4289	2241
69	83	-23.37716667	-178.2108333	26.67	5.521	2.6635	0.039574	1.8581	8.2562	0.037	-0.0118	35.277	4.2173	2527
70	85	-18.56083333	-175.8233333	28.544	5.6187	2.6993	0.036987	0.77307	4.1281	0.043	-0.0082	34.57	4.177	1822
71	86	-15.903	-174.4868333	29.12	5.6592	2.6878	0.033148	60.887	1467.9	0.031	-0.0055	34.432	4.1201	2066
72	87	-13.53116667	-173.3718333	29.312	5.7548	2.7011	0.02302	580.89	1213.8	0.033	-0.002	34.948	4.1221	4732
73	88	-11.242	-172.6296667	29.251	5.7854	2.6955	0.028495	88.478	410.12	0.029	-0.0086	35.202	4.1081	4728
74	89	-9.474166667	-172.298	29.137	5.7787	2.698	0.027908	646.02	2066.4	0.03	0.0012	35.239	4.1195	4170
75	92	-3.410333333	-169.4625	28.132	5.6924	2.7147	0.11663	135.79	365.21	0.037	0.0712	35.388	4.2151	5577
76	93	-1.303166667	-168.354	27.486	5.6232	2.7255	0.11829	164.26	1249.7	0.047	0.0782	35.387	4.2814	6272
77	94	1.598833333	-166.8495	27.22	5.5538	2.6529	0.14012	138.86	996.36	0.044	0.0823	35.096	4.1651	5352
78	95	3.748166667	-165.7731667	27.579	5.579	2.6957	0.19105	0.8013	-9.99e-29	0.051	0.081	35.004	4.2248	5465
79	96	6.992166667	-164.3716667	27.352	5.5302	2.7009	0.11257	160.45	737.84	0.041	0.0728	34.829	4.2541	4864
80	97	9.201166667	-163.495	26.888	5.485	2.7049	0.084228	274.21	1858.3	0.042	0.1024	34.854	4.2924	4269
81	98	11.5925	-162.4095	26.348	5.3886	2.7066	0.030524	186.9	603.05	0.032	0.0579	34.567	4.344	5394
82	101	21.89	-155.6638333	24.651	5.2382	2.7239	0.020456	858.3	1520.7	0.057	0.3015	34.756	4.4962	5066
83	102	21.57	-153.4181667	24.549	5.2516	2.2417	0.024596	181.29	1773	0.061	0.3008	34.936	3.3832	4997
84	103	21.06383333	-150.319	24.016	5.1477	2.7324	0.019126	857.58	2264.2	0.042	0.2712	34.569	4.5663	5751
85	104	20.7835	-148.2691667	23.864	5.137	2.7241	0.023536	507.84	-9.99e-29	1.019	0.463	34.606	4.5536	5200
86	106	19.8915	-141.59	23.386	5.0919	2.7246	0.079186	310.06	1053.4	0.037	0.2683	34.637	4.5899	5589
87	107	19.279	-138.9651667	22.348	5.0078	2.7279	0.090416	242.98	711.86	0.045	0.2678	34.81	4.6714	5341
88	108	18.65316667	-136.1781667	22.734	5.0341	2.7218	0.067917	423.8	1375.3	0.041	0.264	34.707	4.6332	5270
89	109	18.02783333	-133.2598333	22.015	4.9802	2.734	0.14297	0.67181	6.1921	0.024	0.2576	34.861	4.7089	5296
90	110	17.37033333	-130.611	21.649	4.9429	2.7246	0.10816	65.124	208.65	0.034	0.2423	34.862	4.7201	4566
91	112	15.90866667	-124.4738333	23.441	5.1025	2.6917	0.146	237.3	763.7	0.032	0.242	34.675	4.5213	4773
92	114	14.5285	-118.7736667	24.912	5.2167	2.6976	0.082667	420.51	1755.8	0.042	0.2433	34.396	4.4332	4207
93	115	13.80383333	-115.7561667	26.278	5.3307	2.6776	0.19874	137.92	693.04	0.041	0.2494	34.201	4.2996	4079
94	116	13.205	-113.256	28.085	5.4958	2.6957	0.15699	272.96	1508.5	0.035	0.2331	34.048	4.212	4120
95	118	12.00066667	-108.076	28.212	5.5228	2.7059	0.13091	140.65	653.7	0.051	0.2228	34.145	4.2232	364
96	119	11.35433333	-105.0106667	28.313	5.4582	2.6878	0.4856	52.734	1449.2	0.046	0.3124	33.625	4.1927	3289
97	120	10.7585	-102.4423333	29.28	5.5337	2.7122	0.15192	72.272	1243.3	0.05	0.2596	33.462	4.1771	3271
98	121	10.0925	-99.24616667	29.045	5.5691	2.6935	0.058221	322.24	1576	0.037	0.2558	33.868	4.1481	3765
99	122	9.445666667	-96.34066667	28.536	5.5272	2.7342	0.40084	86.456	1100.9	0.081	0.3595	33.942	4.2602	3737
100	124	8.141833333	-90.365	28.187	5.5392	2.6756	0.91293	71.115	263.46	0.073	0.3492	34.278	4.1632	3439
101	125	7.223666667	-87.95983333	27.768	5.4866	2.7324	3.5095	NA	4.1281	1.095	0.447	34.214	4.3057	3430
102	126	5.9115	-84.79466667	27.605	5.3187	2.7036	0.74534	62.917	329.56	0.048	0.2881	33.153	4.2834	2458
103	127	12.36266667	-74.03916667	28.384	5.7653	2.7229	0.10007	53.404	672.01	0.058	0.2386	35.708	4.2064	3711
104	128	14.158	-71.67333333	28.713	5.7813	2.709	0.084851	52.3	643.49	0.032	0.2057	35.572	4.162	3210
105	129	15.0685	-69.29533333	28.738	5.7846	2.7162	0.075053	85.942	1287.3	0.032	0.2052	35.577	4.1732	3932
106	130	15.525	-67.01433333	29.094	5.8178	2.7209	0.12503	234.88	787.49	0.041	0.3056	35.542	4.1576	4846
107	131	17.42716667	-59.82766667	28.845	5.7889	2.7146	0.10722	101.9	448.96	0.036	0.3243	35.527	4.1645	5775
108	132	18.064	-57.80333333	28.487	5.7595	2.6993	0.066679	91.07	1391.1	0.032	0.2918	35.591	4.1569	5390
109	133	18.99616667	-55.15016667	27.944	5.8498	2.7153	0.076618	121.89	457.14	0.034	0.2872	36.641	4.1983	4975
110	134	19.98966667	-52.6365	27.573	5.8283	2.7056	0.08001	77.54	324.47	0.037	0.285	36.778	4.2038	5081
111	135	20.80383333	-50.14316667	27.048	5.8122	2.7291	0.070886	70.817	296.35	0.033	0.2767	37.079	4.2755	4707
113	138	23.73516667	-41.90183333	25.874	5.7346	2.719	0.073803	39.281	231.85	0.033	0.3146	37.465	4.3312	4551
114	139	24.8445	-38.71016667	25.033	5.6548	2.7258	0.064159	29.481	97.115	0.034	0.2967	37.566	4.3996	4590
115	140	26.11016667	-35.2575	24.306	5.5848	2.7314	0.075381	26.376	88.768	0.04	0.3041	37.647	4.4613	5797
116	141	26.911	-32.8365	23.873	5.522	2.7289	0.06709	62.763	196.08	0.033	0.2865	37.533	4.4863	5345
117	143	28.8745	-26.95066667	22.428	5.343	2.7272	0.094096	97.028	823.19	0.039	0.2981	37.374	4.5903	5192
119	145	30.966	-20.64983333	20.96	5.1251	2.7418	0.096649	69.461	206.4	0.021	0.2946	36.899	4.7539	4839
120	146	32.07883333	-17.266	21.264	5.1548	2.7431	0.099245	35.339	156.4	0.033	0.2846	36.876	4.7341	4273
